x_pixel,y_pixel,R_x(pc),R_y(pc),R_z(pc),v_exp(km/s,)Flux()
69,15,0.020874,-0.026962,-0.017917,677.542322,172.433792
69,15,0.020874,-0.026962,-0.010292,620.230485,154.895035
70,15,0.021744,-0.026962,-0.037894,923.235844,153.532425
70,15,0.021744,-0.026962,-0.027129,724.127163,154.241013
70,15,0.021744,-0.026962,-0.019289,685.832853,176.557007
70,15,0.021744,-0.026962,-0.015369,653.893192,206.531937
70,15,0.021744,-0.026962,-0.006130,629.276536,160.594696
71,15,0.022614,-0.026962,-0.022004,694.356650,163.012543
71,15,0.022614,-0.026962,-0.010054,662.827852,169.504929
72,15,0.023483,-0.026962,-0.010736,671.987030,160.950012
40,16,-0.004349,-0.026093,-0.024079,609.822581,171.304276
41,16,-0.003479,-0.026093,-0.025025,608.117998,153.620728
42,16,-0.002609,-0.026093,-0.021099,606.788901,179.069672
43,16,-0.001740,-0.026093,-0.025737,657.446490,158.529663
43,16,-0.001740,-0.026093,-0.021295,559.505091,174.989380
44,16,-0.000870,-0.026093,-0.023971,605.266359,169.898056
44,16,-0.000870,-0.026093,-0.016182,558.886321,166.595947
45,16,0.000000,-0.026093,-0.023651,605.075772,205.360214
45,16,0.000000,-0.026093,-0.016549,558.679912,175.187286
46,16,0.000870,-0.026093,-0.029784,712.701484,152.420105
46,16,0.000870,-0.026093,-0.018661,605.266359,265.248352
47,16,0.001740,-0.026093,-0.024995,657.446490,188.988144
47,16,0.001740,-0.026093,-0.026216,605.837761,254.069778
47,16,0.001740,-0.026093,-0.022177,559.505091,174.969025
48,16,0.002609,-0.026093,-0.028857,713.994965,155.727600
48,16,0.002609,-0.026093,-0.022908,658.323071,233.657043
48,16,0.002609,-0.026093,-0.026518,606.788901,333.795837
48,16,0.002609,-0.026093,-0.022213,560.534856,263.086792
49,16,0.003479,-0.026093,-0.031026,715.124842,212.650360
49,16,0.003479,-0.026093,-0.023719,659.548326,388.045380
49,16,0.003479,-0.026093,-0.024511,608.117998,438.237183
49,16,0.003479,-0.026093,-0.017905,561.973357,267.886414
50,16,0.004349,-0.026093,-0.031123,661.120318,345.530823
50,16,0.004349,-0.026093,-0.026011,609.822581,485.419098
50,16,0.004349,-0.026093,-0.018312,563.817465,305.231934
50,16,0.004349,-0.026093,-0.018588,524.499511,158.812805
51,16,0.005219,-0.026093,-0.029375,663.036580,404.757446
51,16,0.005219,-0.026093,-0.026554,611.899511,515.827087
51,16,0.005219,-0.026093,-0.016462,566.063217,327.849792
51,16,0.005219,-0.026093,-0.016600,526.912866,176.638275
52,16,0.006088,-0.026093,-0.024286,665.294137,435.978302
52,16,0.006088,-0.026093,-0.024128,614.345012,474.599365
52,16,0.006088,-0.026093,-0.018678,568.705854,388.574921
52,16,0.006088,-0.026093,-0.010113,529.750839,168.971817
53,16,0.006958,-0.026093,-0.029053,667.889529,323.972534
53,16,0.006958,-0.026093,-0.021212,617.154704,504.743469
53,16,0.006958,-0.026093,-0.019660,571.739873,453.064575
53,16,0.006958,-0.026093,-0.012060,533.006647,169.956177
54,16,0.007828,-0.026093,-0.030076,725.532530,191.635315
54,16,0.007828,-0.026093,-0.027706,670.818834,430.961060
54,16,0.007828,-0.026093,-0.020284,620.323636,536.489197
54,16,0.007828,-0.026093,-0.018895,575.159080,362.210388
54,16,0.007828,-0.026093,-0.018509,536.672685,156.392578
55,16,0.008698,-0.026093,-0.030699,728.546697,172.167297
55,16,0.008698,-0.026093,-0.029905,674.077699,337.822937
55,16,0.008698,-0.026093,-0.026974,623.846335,588.089905
55,16,0.008698,-0.026093,-0.018474,578.956651,320.904480
56,16,0.009567,-0.026093,-0.033147,731.863701,156.808151
56,16,0.009567,-0.026093,-0.023183,677.661370,313.028778
56,16,0.009567,-0.026093,-0.026997,627.716845,711.799927
56,16,0.009567,-0.026093,-0.014814,583.125193,266.881500
57,16,0.010437,-0.026093,-0.032100,735.479446,162.243484
57,16,0.010437,-0.026093,-0.027780,681.564722,306.964783
57,16,0.010437,-0.026093,-0.024678,631.928774,528.926453
57,16,0.010437,-0.026093,-0.014579,587.656813,379.507172
