x_pixel,y_pixel,R_x(pc),R_y(pc),R_z(pc),v_exp(km/s,)Flux()
70,13,0.021744,-0.028702,-0.024244,729.030832,185.281769
71,13,0.022614,-0.028702,-0.024343,737.055229,157.508911
6,14,-0.033920,-0.027832,-0.007972,778.474461,206.142807
9,14,-0.031311,-0.027832,-0.029883,899.333694,167.641647
34,14,-0.009567,-0.027832,-0.004233,517.488175,160.945236
36,14,-0.007828,-0.027832,-0.014938,583.153834,153.354752
36,14,-0.007828,-0.027832,-0.002704,508.494825,161.468597
39,14,-0.005219,-0.027832,0.002282,503.264128,169.182144
44,14,-0.000870,-0.027832,-0.016871,567.110524,220.173660
45,14,0.000000,-0.027832,-0.021131,659.651734,157.118591
46,14,0.000870,-0.027832,-0.025347,659.826557,174.891037
46,14,0.000870,-0.027832,-0.023124,610.369125,170.348999
47,14,0.001740,-0.027832,-0.021382,610.935754,173.293030
47,14,0.001740,-0.027832,-0.013622,567.720330,208.164261
47,14,0.001740,-0.027832,0.001574,495.876158,157.772125
48,14,0.002609,-0.027832,-0.016931,611.878970,188.991165
48,14,0.002609,-0.027832,-0.012372,568.735220,172.273438
48,14,0.002609,-0.027832,-0.011004,533.299280,207.872879
48,14,0.002609,-0.027832,-0.009144,507.189300,159.905624
50,14,0.004349,-0.027832,-0.027174,664.008509,212.208313
50,14,0.004349,-0.027832,-0.017015,614.887537,187.052414
50,14,0.004349,-0.027832,-0.014559,571.970769,185.760269
50,14,0.004349,-0.027832,-0.016553,536.748480,202.579971
51,14,0.005219,-0.027832,-0.019392,616.947417,194.945709
51,14,0.005219,-0.027832,-0.019926,574.184632,159.056778
51,14,0.005219,-0.027832,-0.008436,539.107005,194.440552
51,14,0.005219,-0.027832,-0.002573,498.183285,266.033478
52,14,0.006088,-0.027832,-0.020663,619.372988,185.813492
52,14,0.006088,-0.027832,-0.004252,516.205395,201.650055
52,14,0.006088,-0.027832,-0.001817,501.183966,203.339371
53,14,0.006958,-0.027832,-0.022672,622.159973,249.777634
53,14,0.006958,-0.027832,-0.009945,519.546094,247.123581
53,14,0.006958,-0.027832,-0.002480,504.624120,150.409637
54,14,0.007828,-0.027832,-0.025445,673.665446,186.905731
54,14,0.007828,-0.027832,-0.019381,625.303540,150.145218
54,14,0.007828,-0.027832,-0.015915,548.649947,196.514633
55,14,0.008698,-0.027832,-0.020902,628.798341,251.899765
55,14,0.008698,-0.027832,-0.015986,586.899676,159.275620
55,14,0.008698,-0.027832,-0.007095,512.786333,163.977097
57,14,0.010437,-0.027832,-0.019517,595.483800,172.405457
59,14,0.012177,-0.027832,-0.018448,646.167324,198.569061
59,14,0.012177,-0.027832,-0.009828,548.066896,181.697723
60,14,0.013046,-0.027832,-0.020345,651.323117,173.398651
60,14,0.013046,-0.027832,-0.013813,610.971096,154.382355
61,14,0.013916,-0.027832,-0.025620,656.789727,176.312912
61,14,0.013916,-0.027832,-0.012520,616.795447,239.033142
61,14,0.013916,-0.027832,-0.015481,584.281605,185.321747
61,14,0.013916,-0.027832,0.000684,546.749683,204.502899
62,14,0.014786,-0.027832,-0.012884,622.935725,219.553772
62,14,0.014786,-0.027832,-0.010190,590.759925,176.525604
63,14,0.015656,-0.027832,-0.017533,668.624474,159.810242
63,14,0.015656,-0.027832,-0.015933,629.382685,230.382843
63,14,0.015656,-0.027832,-0.011818,597.554127,206.115524
64,14,0.016525,-0.027832,-0.008360,604.653563,188.269913
65,14,0.017395,-0.027832,-0.018821,681.608415,192.951050
65,14,0.017395,-0.027832,-0.019551,643.159318,158.971451
66,14,0.018265,-0.027832,-0.018356,688.511243,213.606888
66,14,0.018265,-0.027832,-0.013624,650.470298,177.329788
68,14,0.020004,-0.027832,-0.020853,665.891178,230.419495
69,14,0.020874,-0.027832,-0.018561,673.982799,195.142166
70,14,0.021744,-0.027832,-0.019511,718.673807,189.591919
70,14,0.021744,-0.027832,-0.017909,682.316582,154.768143
71,14,0.022614,-0.027832,-0.013876,690.883762,199.466019
71,14,0.022614,-0.027832,-0.013602,662.018689,184.131790
72,14,0.023483,-0.027832,-0.028283,776.725769,156.849915
72,14,0.023483,-0.027832,-0.025497,735.175015,152.422119
75,14,0.026093,-0.027832,0.066509,1282.337677,178.888153
89,14,0.038269,-0.027832,-0.040768,1118.863605,176.115387
0,15,-0.039139,-0.026962,-0.049640,1230.538092,154.497177
7,15,-0.033051,-0.026962,-0.002634,745.014841,155.386887
20,15,-0.021744,-0.026962,0.029195,771.562881,158.785477
32,15,-0.011307,-0.026962,0.040277,813.383254,150.778580
35,15,-0.008698,-0.026962,0.002827,494.994053,184.443054
36,15,-0.007828,-0.026962,-0.030741,716.936316,164.331299
37,15,-0.006958,-0.026962,0.002910,486.533443,156.114548
42,15,-0.002609,-0.026962,-0.020069,555.812188,194.625458
43,15,-0.001740,-0.026962,-0.021888,598.923980,173.360443
43,15,-0.001740,-0.026962,-0.016196,554.773657,176.520172
43,15,-0.001740,-0.026962,-0.009011,518.384202,154.122070
44,15,-0.000870,-0.026962,-0.019706,554.149604,191.473175
44,15,-0.000870,-0.026962,-0.003505,471.362100,175.667511
45,15,0.000000,-0.026962,-0.020998,598.153184,155.765289
45,15,0.000000,-0.026962,-0.016756,553.941430,172.684021
46,15,0.000870,-0.026962,-0.029534,648.720682,242.231644
46,15,0.000870,-0.026962,-0.020815,598.345976,185.533005
46,15,0.000870,-0.026962,-0.020182,554.149604,237.192154
47,15,0.001740,-0.026962,-0.024952,649.253841,158.471100
47,15,0.001740,-0.026962,-0.009798,518.384202,175.769058
48,15,0.002609,-0.026962,-0.024488,650.141468,221.965958
48,15,0.002609,-0.026962,-0.016151,555.812188,163.459320
49,15,0.003479,-0.026962,-0.021081,601.230439,188.320312
49,15,0.003479,-0.026962,-0.014885,521.047300,183.504730
50,15,0.004349,-0.026962,-0.021350,602.954493,199.368393
50,15,0.004349,-0.026962,-0.020858,559.122525,166.329361
50,15,0.004349,-0.026962,-0.007830,496.386173,154.161896
51,15,0.005219,-0.026962,-0.020407,605.055000,275.811432
51,15,0.005219,-0.026962,-0.015206,561.387059,166.637756
51,15,0.005219,-0.026962,-0.008386,498.935532,154.117126
51,15,0.005219,-0.026962,-0.002300,483.377723,160.399857
52,15,0.006088,-0.026962,-0.025108,657.199324,180.450272
52,15,0.006088,-0.026962,-0.020903,607.528053,158.606247
52,15,0.006088,-0.026962,-0.012279,564.051604,174.470947
52,15,0.006088,-0.026962,-0.006682,486.469738,150.729782
53,15,0.006958,-0.026962,-0.024242,659.826557,225.160019
53,15,0.006958,-0.026962,-0.019486,610.369125,184.886383
53,15,0.006958,-0.026962,-0.014729,567.110524,194.610825
53,15,0.006958,-0.026962,-0.010323,505.366779,154.815567
53,15,0.006958,-0.026962,-0.007651,490.013203,169.031204
54,15,0.007828,-0.026962,-0.023412,662.791499,300.097137
54,15,0.007828,-0.026962,-0.025067,613.573104,204.567688
54,15,0.007828,-0.026962,-0.019719,570.557474,215.801117
54,15,0.007828,-0.026962,-0.012356,535.242190,197.330780
55,15,0.008698,-0.026962,-0.028764,666.089639,176.550934
55,15,0.008698,-0.026962,-0.019848,617.134338,215.480927
55,15,0.008698,-0.026962,-0.018485,574.385470,214.330170
55,15,0.008698,-0.026962,-0.011243,539.320905,196.850571
55,15,0.008698,-0.026962,-0.006454,513.517188,168.972336
56,15,0.009567,-0.026962,-0.010460,518.212399,281.399872
57,15,0.010437,-0.026962,-0.022704,673.665446,152.524109
57,15,0.010437,-0.026962,-0.024649,625.303540,219.370285
57,15,0.010437,-0.026962,-0.016545,583.153834,166.227570
57,15,0.010437,-0.026962,-0.012388,548.649947,206.456390
58,15,0.011307,-0.026962,-0.026796,677.932167,153.285690
58,15,0.011307,-0.026962,-0.021363,629.897934,172.202179
58,15,0.011307,-0.026962,-0.018714,588.077617,202.813721
59,15,0.012177,-0.026962,-0.013175,593.349412,230.223282
59,15,0.012177,-0.026962,-0.004184,534.644517,166.397110
59,15,0.012177,-0.026962,-0.001493,516.879067,159.047333
61,15,0.013916,-0.026962,-0.017413,604.900042,205.326248
61,15,0.013916,-0.026962,-0.008527,571.710094,163.617676
